country,ip,prefixlength,version
SN,41.82.0.0,15,ipv4
SN,41.208.128.0,18,ipv4
SN,41.214.0.0,17,ipv4
SN,41.219.0.0,18,ipv4
SN,102.36.136.0,22,ipv4
SN,102.36.147.0,24,ipv4
SN,102.164.128.0,18,ipv4
SN,102.209.164.0,22,ipv4
SN,102.209.208.0,22,ipv4
SN,102.214.191.0,24,ipv4
SN,154.65.32.0,21,ipv4
SN,154.73.172.0,22,ipv4
SN,154.115.128.0,20,ipv4
SN,154.124.0.0,15,ipv4
SN,160.0.128.0,18,ipv4
SN,169.239.136.0,22,ipv4
SN,196.1.92.0,24,ipv4
SN,196.1.93.0,24,ipv4
SN,196.1.94.0,24,ipv4
SN,196.1.95.0,24,ipv4
SN,196.1.96.0,24,ipv4
SN,196.1.97.0,24,ipv4
SN,196.1.98.0,24,ipv4
SN,196.1.99.0,24,ipv4
SN,196.1.100.0,24,ipv4
SN,196.49.42.0,24,ipv4
SN,196.50.8.0,21,ipv4
SN,196.60.40.0,24,ipv4
SN,196.207.192.0,18,ipv4
SN,196.216.188.0,22,ipv4
SN,196.223.252.0,24,ipv4
SN,196.250.200.0,22,ipv4
SN,213.154.64.0,19,ipv4
