country,ip,prefixlength,version
SZ,41.77.232.0,21,ipv4
SZ,41.84.224.0,19,ipv4
SZ,41.204.0.0,19,ipv4
SZ,41.211.32.0,19,ipv4
SZ,41.215.144.0,20,ipv4
SZ,69.63.64.0,20,ipv4
SZ,102.23.132.0,22,ipv4
SZ,102.36.181.0,24,ipv4
SZ,102.67.144.0,22,ipv4
SZ,102.68.48.0,22,ipv4
SZ,102.209.176.0,22,ipv4
SZ,102.212.200.0,22,ipv4
SZ,102.212.228.0,24,ipv4
SZ,102.214.160.0,22,ipv4
SZ,102.215.24.0,22,ipv4
SZ,102.215.99.0,24,ipv4
SZ,102.222.132.0,22,ipv4
SZ,154.119.96.0,19,ipv4
SZ,165.73.132.0,22,ipv4
SZ,196.11.124.0,24,ipv4
SZ,196.13.168.0,24,ipv4
SZ,196.28.7.0,24,ipv4
SZ,196.49.4.0,24,ipv4
SZ,196.223.37.0,24,ipv4
