Country,IP,PrefixLength,Version
TD,41.242.152.0,21,ipv4
TD,102.23.84.0,22,ipv4
TD,102.131.56.0,22,ipv4
TD,102.164.244.0,22,ipv4
TD,102.211.107.0,24,ipv4
TD,102.212.248.0,22,ipv4
TD,102.218.112.0,22,ipv4
TD,102.220.101.0,24,ipv4
TD,102.220.196.0,22,ipv4
TD,102.223.48.0,22,ipv4
TD,102.223.192.0,22,ipv4
TD,154.68.128.0,19,ipv4
TD,154.73.112.0,22,ipv4
TD,154.73.160.0,21,ipv4
TD,169.239.120.0,22,ipv4
TD,169.255.152.0,22,ipv4
TD,196.49.92.0,24,ipv4
TD,196.60.106.0,24,ipv4
TD,196.223.42.0,24,ipv4
TD,197.149.128.0,22,ipv4
