Country,IP,PrefixLength,Version
TL,43.243.120.0,22,ipv4
TL,43.243.176.0,22,ipv4
TL,43.254.56.0,22,ipv4
TL,45.115.72.0,22,ipv4
TL,59.153.132.0,22,ipv4
TL,103.26.95.0,24,ipv4
TL,103.30.112.0,22,ipv4
TL,103.55.48.0,22,ipv4
TL,103.94.180.0,22,ipv4
TL,103.99.26.0,24,ipv4
TL,103.112.36.0,22,ipv4
TL,103.143.164.0,23,ipv4
TL,103.148.184.0,23,ipv4
TL,103.175.148.0,24,ipv4
TL,103.176.12.0,23,ipv4
TL,103.176.215.0,24,ipv4
TL,103.193.252.0,23,ipv4
TL,103.193.254.0,24,ipv4
TL,103.198.176.0,22,ipv4
TL,103.208.36.0,22,ipv4
TL,103.231.123.0,24,ipv4
TL,103.236.128.0,23,ipv4
TL,103.238.116.0,22,ipv4
TL,116.199.172.0,22,ipv4
TL,150.242.108.0,22,ipv4
TL,160.22.52.0,23,ipv4
TL,160.30.30.0,23,ipv4
TL,163.223.148.0,23,ipv4
TL,180.189.160.0,20,ipv4
TL,185.126.46.0,23,ipv4
TL,185.242.38.0,23,ipv4
