Country,IP,PrefixLength,Version
TN,41.62.0.0,16,ipv4
TN,41.224.0.0,13,ipv4
TN,102.24.0.0,13,ipv4
TN,102.104.0.0,13,ipv4
TN,102.128.0.0,18,ipv4
TN,102.141.204.0,22,ipv4
TN,102.152.0.0,14,ipv4
TN,102.156.0.0,14,ipv4
TN,102.164.112.0,23,ipv4
TN,102.168.0.0,13,ipv4
TN,102.204.204.0,22,ipv4
TN,102.207.250.0,23,ipv4
TN,102.208.224.0,22,ipv4
TN,102.210.140.0,22,ipv4
TN,102.211.208.0,22,ipv4
TN,102.212.8.0,23,ipv4
TN,102.215.218.0,23,ipv4
TN,102.217.168.0,22,ipv4
TN,102.217.210.0,24,ipv4
TN,102.219.112.0,22,ipv4
TN,102.219.164.0,22,ipv4
TN,102.219.176.0,22,ipv4
TN,102.220.118.0,24,ipv4
TN,102.221.128.0,22,ipv4
TN,102.240.0.0,14,ipv4
TN,154.72.224.0,20,ipv4
TN,154.104.0.0,13,ipv4
TN,160.156.0.0,14,ipv4
TN,164.160.0.0,22,ipv4
TN,165.50.0.0,15,ipv4
TN,169.255.68.0,22,ipv4
TN,192.68.138.0,24,ipv4
TN,193.95.0.0,17,ipv4
TN,196.41.95.0,24,ipv4
TN,196.176.0.0,14,ipv4
TN,196.184.0.0,14,ipv4
TN,196.203.0.0,16,ipv4
TN,196.216.156.0,22,ipv4
TN,196.224.0.0,12,ipv4
TN,197.0.0.0,11,ipv4
TN,197.238.0.0,16,ipv4
TN,197.240.0.0,16,ipv4
TN,197.244.0.0,16,ipv4
TN,213.150.160.0,19,ipv4
