Country,IP,PrefixLength,Version
TW,1.34.0.0,15,ipv4
TW,1.160.0.0,12,ipv4
TW,1.200.0.0,16,ipv4
TW,2.58.240.0,22,ipv4
TW,27.0.152.0,22,ipv4
TW,27.51.0.0,16,ipv4
TW,27.52.0.0,15,ipv4
TW,27.96.224.0,19,ipv4
TW,27.100.64.0,18,ipv4
TW,27.105.0.0,16,ipv4
TW,27.147.0.0,18,ipv4
TW,27.240.0.0,13,ipv4
TW,36.50.228.0,23,ipv4
TW,36.50.248.0,23,ipv4
TW,36.224.0.0,12,ipv4
TW,39.1.0.0,16,ipv4
TW,39.8.0.0,13,ipv4
TW,42.0.64.0,18,ipv4
TW,42.64.0.0,12,ipv4
TW,43.224.20.0,22,ipv4
TW,43.224.248.0,23,ipv4
TW,43.226.232.0,22,ipv4
TW,43.227.24.0,22,ipv4
TW,43.240.24.0,22,ipv4
TW,43.240.44.0,22,ipv4
TW,43.240.104.0,22,ipv4
TW,43.240.108.0,22,ipv4
TW,43.240.152.0,22,ipv4
TW,43.241.32.0,22,ipv4
TW,43.241.160.0,22,ipv4
TW,43.243.252.0,22,ipv4
TW,43.246.216.0,22,ipv4
TW,43.248.16.0,22,ipv4
TW,43.250.44.0,22,ipv4
TW,43.251.56.0,22,ipv4
TW,43.251.60.0,22,ipv4
TW,43.254.16.0,22,ipv4
TW,43.255.12.0,22,ipv4
TW,43.255.88.0,22,ipv4
TW,43.255.92.0,22,ipv4
TW,43.255.180.0,22,ipv4
TW,45.64.28.0,22,ipv4
TW,45.64.32.0,22,ipv4
TW,45.64.74.0,23,ipv4
TW,45.64.228.0,22,ipv4
TW,45.64.232.0,22,ipv4
TW,45.113.156.0,22,ipv4
TW,45.121.48.0,22,ipv4
TW,45.123.116.0,24,ipv4
TW,45.123.117.0,24,ipv4
TW,45.123.118.0,23,ipv4
TW,49.128.64.0,19,ipv4
TW,49.128.112.0,20,ipv4
TW,49.158.0.0,15,ipv4
TW,49.213.128.0,17,ipv4
TW,49.214.0.0,15,ipv4
TW,49.216.0.0,14,ipv4
TW,58.86.0.0,16,ipv4
TW,58.99.0.0,18,ipv4
TW,58.99.64.0,18,ipv4
TW,58.114.0.0,15,ipv4
TW,59.102.128.0,17,ipv4
TW,59.104.0.0,15,ipv4
TW,59.112.0.0,13,ipv4
TW,59.120.0.0,14,ipv4
TW,59.124.0.0,14,ipv4
TW,60.198.0.0,16,ipv4
TW,60.199.0.0,16,ipv4
TW,60.244.0.0,19,ipv4
TW,60.244.32.0,19,ipv4
TW,60.244.64.0,18,ipv4
TW,60.244.128.0,17,ipv4
TW,60.245.0.0,18,ipv4
TW,60.245.64.0,19,ipv4
TW,60.245.96.0,19,ipv4
TW,60.248.0.0,16,ipv4
TW,60.249.0.0,16,ipv4
TW,60.250.0.0,15,ipv4
TW,61.20.0.0,16,ipv4
TW,61.30.0.0,16,ipv4
TW,61.31.0.0,16,ipv4
TW,61.56.0.0,13,ipv4
TW,61.64.0.0,14,ipv4
TW,61.70.0.0,17,ipv4
TW,61.70.128.0,17,ipv4
TW,61.71.0.0,17,ipv4
TW,61.71.128.0,17,ipv4
TW,61.216.0.0,16,ipv4
TW,61.217.0.0,16,ipv4
TW,61.218.0.0,15,ipv4
TW,61.220.0.0,14,ipv4
TW,61.224.0.0,14,ipv4
TW,61.228.0.0,14,ipv4
TW,61.247.160.0,20,ipv4
TW,64.25.32.0,20,ipv4
TW,64.78.160.0,20,ipv4
TW,74.120.120.0,22,ipv4
TW,85.113.86.0,23,ipv4
TW,101.0.128.0,17,ipv4
TW,101.3.0.0,16,ipv4
TW,101.8.0.0,13,ipv4
TW,101.101.101.0,24,ipv4
TW,101.102.103.0,24,ipv4
TW,101.136.0.0,14,ipv4
TW,103.1.220.0,22,ipv4
TW,103.2.216.0,22,ipv4
TW,103.3.192.0,22,ipv4
TW,103.4.104.0,22,ipv4
TW,103.5.32.0,22,ipv4
TW,103.5.44.0,22,ipv4
TW,103.5.100.0,22,ipv4
TW,103.6.124.0,23,ipv4
TW,103.6.126.0,23,ipv4
TW,103.9.116.0,22,ipv4
TW,103.10.4.0,22,ipv4
TW,103.10.204.0,22,ipv4
TW,103.14.170.0,23,ipv4
TW,103.16.240.0,22,ipv4
TW,103.16.244.0,22,ipv4
TW,103.17.8.0,22,ipv4
TW,103.17.240.0,22,ipv4
TW,103.18.128.0,22,ipv4
TW,103.20.40.0,22,ipv4
TW,103.20.98.0,23,ipv4
TW,103.20.176.0,22,ipv4
TW,103.21.60.0,22,ipv4
TW,103.22.212.0,22,ipv4
TW,103.23.108.0,22,ipv4
TW,103.24.52.0,23,ipv4
TW,103.24.54.0,23,ipv4
TW,103.25.232.0,22,ipv4
