Country,IP,PrefixLength,Version
UG,41.75.160.0,20,ipv4
UG,41.75.176.0,20,ipv4
UG,41.77.72.0,21,ipv4
UG,41.84.192.0,19,ipv4
UG,41.191.76.0,22,ipv4
UG,41.202.224.0,19,ipv4
UG,41.210.128.0,18,ipv4
UG,41.217.232.0,21,ipv4
UG,41.220.0.0,20,ipv4
UG,41.220.208.0,20,ipv4
UG,41.221.80.0,20,ipv4
UG,41.223.84.0,22,ipv4
UG,45.221.8.0,22,ipv4
UG,45.221.72.0,21,ipv4
UG,80.88.2.0,24,ipv4
UG,102.34.0.0,16,ipv4
UG,102.36.216.0,21,ipv4
UG,102.68.124.0,24,ipv4
UG,102.68.172.0,22,ipv4
UG,102.80.0.0,13,ipv4
UG,102.134.140.0,22,ipv4
UG,102.134.144.0,21,ipv4
UG,102.164.120.0,24,ipv4
UG,102.205.128.0,23,ipv4
UG,102.205.207.0,24,ipv4
UG,102.205.244.0,22,ipv4
UG,102.206.128.0,22,ipv4
UG,102.207.108.0,22,ipv4
UG,102.207.221.0,24,ipv4
UG,102.208.68.0,22,ipv4
UG,102.208.84.0,22,ipv4
UG,102.209.108.0,22,ipv4
UG,102.209.128.0,22,ipv4
UG,102.209.200.0,22,ipv4
UG,102.209.239.0,24,ipv4
UG,102.210.108.0,22,ipv4
UG,102.210.159.0,24,ipv4
UG,102.211.60.0,22,ipv4
UG,102.211.168.0,22,ipv4
UG,102.213.192.0,22,ipv4
UG,102.214.148.0,22,ipv4
UG,102.214.190.0,24,ipv4
UG,102.215.44.0,22,ipv4
UG,102.215.94.0,24,ipv4
UG,102.215.108.0,22,ipv4
UG,102.215.164.0,22,ipv4
UG,102.216.144.0,22,ipv4
UG,102.216.148.0,22,ipv4
UG,102.217.52.0,23,ipv4
UG,102.217.56.0,22,ipv4
UG,102.217.209.0,24,ipv4
UG,102.218.36.0,22,ipv4
UG,102.218.88.0,22,ipv4
UG,102.218.108.0,22,ipv4
UG,102.219.72.0,23,ipv4
UG,102.219.100.0,22,ipv4
UG,102.220.21.0,24,ipv4
UG,102.220.92.0,22,ipv4
UG,102.220.156.0,23,ipv4
UG,102.220.200.0,22,ipv4
UG,102.222.68.0,22,ipv4
UG,102.222.74.0,23,ipv4
UG,102.222.152.0,22,ipv4
UG,102.222.232.0,22,ipv4
UG,102.223.88.0,22,ipv4
UG,102.223.216.0,22,ipv4
UG,102.223.248.0,24,ipv4
UG,129.205.0.0,19,ipv4
UG,137.63.128.0,17,ipv4
UG,154.0.128.0,20,ipv4
UG,154.66.216.0,22,ipv4
UG,154.72.16.0,22,ipv4
UG,154.72.192.0,19,ipv4
UG,154.224.0.0,13,ipv4
UG,160.119.148.0,22,ipv4
UG,164.160.4.0,22,ipv4
UG,193.108.214.0,24,ipv4
UG,193.108.252.0,22,ipv4
UG,196.0.0.0,16,ipv4
UG,196.10.119.0,24,ipv4
UG,196.10.138.0,23,ipv4
UG,196.10.228.0,24,ipv4
UG,196.13.122.0,24,ipv4
UG,196.43.128.0,18,ipv4
UG,196.43.226.0,24,ipv4
UG,196.49.15.0,24,ipv4
UG,196.49.82.0,24,ipv4
UG,196.60.82.0,24,ipv4
UG,196.216.176.0,22,ipv4
UG,196.223.25.0,24,ipv4
UG,197.157.0.0,18,ipv4
UG,197.221.128.0,19,ipv4
UG,197.239.0.0,18,ipv4
UG,212.88.96.0,19,ipv4
UG,216.104.192.0,20,ipv4
