Country,IP,PrefixLength,Version
UY,45.6.248.0,22,ipv4
UY,45.6.252.0,22,ipv4
UY,45.228.64.0,23,ipv4
UY,69.164.80.0,24,ipv4
UY,69.164.91.0,24,ipv4
UY,69.164.98.0,24,ipv4
UY,131.0.212.0,22,ipv4
UY,138.59.12.0,22,ipv4
UY,138.99.44.0,22,ipv4
UY,152.156.0.0,16,ipv4
UY,161.0.120.0,21,ipv4
UY,164.73.0.0,16,ipv4
UY,167.56.0.0,13,ipv4
UY,167.108.0.0,16,ipv4
UY,167.116.0.0,16,ipv4
UY,168.121.184.0,22,ipv4
UY,170.247.168.0,22,ipv4
UY,179.0.156.0,22,ipv4
UY,179.24.0.0,13,ipv4
UY,181.103.64.0,20,ipv4
UY,181.103.80.0,20,ipv4
UY,181.224.164.0,23,ipv4
UY,186.8.0.0,18,ipv4
UY,186.8.64.0,18,ipv4
UY,186.8.128.0,17,ipv4
UY,186.48.0.0,14,ipv4
UY,186.52.0.0,14,ipv4
UY,190.0.128.0,19,ipv4
UY,190.64.0.0,17,ipv4
UY,190.64.128.0,17,ipv4
UY,190.99.96.0,20,ipv4
UY,190.108.0.0,19,ipv4
UY,190.110.245.0,24,ipv4
UY,190.112.52.0,22,ipv4
UY,190.112.192.0,22,ipv4
UY,190.112.200.0,22,ipv4
UY,190.132.0.0,16,ipv4
UY,190.133.0.0,16,ipv4
UY,190.134.0.0,15,ipv4
UY,192.146.237.0,24,ipv4
UY,200.0.68.0,23,ipv4
UY,200.0.86.0,23,ipv4
UY,200.0.88.0,24,ipv4
UY,200.0.204.0,22,ipv4
UY,200.2.32.0,19,ipv4
UY,200.3.12.0,22,ipv4
UY,200.7.84.0,23,ipv4
UY,200.7.86.0,23,ipv4
UY,200.10.60.0,23,ipv4
UY,200.10.62.0,23,ipv4
UY,200.12.155.0,24,ipv4
UY,200.12.156.0,24,ipv4
UY,200.35.152.0,22,ipv4
UY,200.40.0.0,17,ipv4
UY,200.40.128.0,18,ipv4
UY,200.40.192.0,19,ipv4
UY,200.40.224.0,20,ipv4
UY,200.40.240.0,20,ipv4
UY,200.58.128.0,20,ipv4
UY,200.58.144.0,20,ipv4
UY,200.71.0.0,20,ipv4
UY,200.71.16.0,20,ipv4
UY,200.90.152.0,24,ipv4
UY,200.90.153.0,24,ipv4
UY,200.90.154.0,24,ipv4
UY,200.93.240.0,24,ipv4
UY,200.93.241.0,24,ipv4
UY,200.93.242.0,24,ipv4
UY,200.93.243.0,24,ipv4
UY,200.93.244.0,24,ipv4
UY,200.93.245.0,24,ipv4
UY,200.93.246.0,24,ipv4
UY,200.93.247.0,24,ipv4
UY,200.108.192.0,19,ipv4
UY,200.108.224.0,20,ipv4
UY,200.108.240.0,20,ipv4
UY,200.115.72.0,21,ipv4
UY,200.124.192.0,20,ipv4
UY,200.124.208.0,20,ipv4
UY,200.125.0.0,20,ipv4
UY,200.125.16.0,20,ipv4
UY,200.125.32.0,20,ipv4
UY,200.125.48.0,20,ipv4
UY,201.217.128.0,19,ipv4
UY,201.217.160.0,19,ipv4
UY,201.219.224.0,21,ipv4
UY,201.219.252.0,22,ipv4
UY,201.221.0.0,20,ipv4
UY,201.221.16.0,20,ipv4
UY,201.221.32.0,20,ipv4
UY,201.221.48.0,20,ipv4
