Country,IP,PrefixLength,Version
UZ,5.133.120.0,22,ipv4
UZ,31.40.24.0,22,ipv4
UZ,31.40.28.0,22,ipv4
UZ,31.135.208.0,21,ipv4
UZ,37.110.208.0,21,ipv4
UZ,37.153.159.0,24,ipv4
UZ,45.9.228.0,22,ipv4
UZ,45.91.220.0,22,ipv4
UZ,45.150.24.0,22,ipv4
UZ,45.153.60.0,22,ipv4
UZ,45.153.64.0,22,ipv4
UZ,46.227.120.0,21,ipv4
UZ,46.255.64.0,21,ipv4
UZ,62.164.148.0,22,ipv4
UZ,62.164.154.0,23,ipv4
UZ,62.209.128.0,19,ipv4
UZ,77.83.56.0,23,ipv4
UZ,80.80.208.0,20,ipv4
UZ,81.85.48.0,22,ipv4
UZ,81.95.224.0,20,ipv4
UZ,82.215.66.0,23,ipv4
UZ,82.215.68.0,23,ipv4
UZ,82.215.72.0,22,ipv4
UZ,82.215.77.0,24,ipv4
UZ,82.215.78.0,23,ipv4
UZ,82.215.80.0,22,ipv4
UZ,82.215.85.0,24,ipv4
UZ,82.215.86.0,23,ipv4
UZ,82.215.88.0,21,ipv4
UZ,82.215.96.0,20,ipv4
UZ,82.215.112.0,20,ipv4
UZ,83.69.128.0,19,ipv4
UZ,83.221.160.0,23,ipv4
UZ,83.221.162.0,24,ipv4
UZ,83.221.163.0,24,ipv4
UZ,83.221.164.0,22,ipv4
UZ,83.221.168.0,21,ipv4
UZ,83.221.176.0,22,ipv4
UZ,83.221.180.0,23,ipv4
UZ,83.221.182.0,24,ipv4
UZ,83.221.183.0,24,ipv4
UZ,83.221.184.0,21,ipv4
UZ,83.222.6.0,23,ipv4
UZ,84.54.64.0,18,ipv4
UZ,85.8.185.0,24,ipv4
UZ,85.204.79.0,24,ipv4
UZ,86.62.0.0,22,ipv4
UZ,87.192.224.0,19,ipv4
UZ,87.237.232.0,21,ipv4
UZ,89.39.94.0,23,ipv4
UZ,89.104.102.0,24,ipv4
UZ,89.126.208.0,20,ipv4
UZ,89.146.64.0,18,ipv4
UZ,89.223.3.0,24,ipv4
UZ,89.236.192.0,18,ipv4
UZ,89.249.60.0,22,ipv4
UZ,90.156.160.0,21,ipv4
UZ,90.156.192.0,21,ipv4
UZ,91.90.216.0,22,ipv4
UZ,91.188.128.0,19,ipv4
UZ,91.190.159.0,24,ipv4
UZ,91.196.76.0,23,ipv4
UZ,91.196.78.0,23,ipv4
UZ,91.203.172.0,22,ipv4
UZ,91.204.236.0,22,ipv4
UZ,91.212.89.0,24,ipv4
UZ,91.212.124.0,24,ipv4
UZ,91.212.180.0,24,ipv4
UZ,91.213.31.0,24,ipv4
UZ,91.216.37.0,24,ipv4
UZ,91.227.14.0,23,ipv4
UZ,91.229.160.0,22,ipv4
UZ,91.229.164.0,23,ipv4
UZ,91.231.56.0,22,ipv4
UZ,91.234.218.0,23,ipv4
UZ,91.240.12.0,22,ipv4
UZ,91.240.128.0,24,ipv4
UZ,92.63.204.0,22,ipv4
UZ,92.119.248.0,22,ipv4
UZ,93.157.58.0,24,ipv4
UZ,93.188.80.0,21,ipv4
UZ,94.141.64.0,19,ipv4
UZ,94.154.10.0,24,ipv4
UZ,94.158.48.0,20,ipv4
UZ,94.158.208.0,21,ipv4
UZ,94.230.224.0,24,ipv4
UZ,94.230.225.0,24,ipv4
UZ,94.230.226.0,24,ipv4
UZ,94.230.227.0,24,ipv4
UZ,94.230.228.0,22,ipv4
UZ,94.230.232.0,24,ipv4
UZ,94.230.233.0,24,ipv4
UZ,94.230.234.0,23,ipv4
UZ,94.230.236.0,22,ipv4
UZ,94.232.24.0,22,ipv4
UZ,94.232.253.0,24,ipv4
UZ,95.214.208.0,22,ipv4
UZ,109.94.172.0,22,ipv4
UZ,109.207.240.0,21,ipv4
UZ,109.207.248.0,22,ipv4
UZ,109.207.252.0,24,ipv4
UZ,109.207.253.0,24,ipv4
UZ,109.207.254.0,24,ipv4
UZ,109.207.255.0,24,ipv4
UZ,118.88.16.0,21,ipv4
UZ,119.12.104.0,21,ipv4
UZ,139.28.44.0,22,ipv4
UZ,144.124.192.0,20,ipv4
UZ,178.216.128.0,21,ipv4
UZ,178.218.200.0,21,ipv4
UZ,185.0.23.0,24,ipv4
UZ,185.0.36.0,24,ipv4
UZ,185.1.250.0,24,ipv4
UZ,185.4.160.0,22,ipv4
UZ,185.6.40.0,22,ipv4
UZ,185.8.212.0,22,ipv4
UZ,185.50.252.0,24,ipv4
UZ,185.63.224.0,22,ipv4
UZ,185.72.100.0,24,ipv4
UZ,185.73.87.0,24,ipv4
UZ,185.74.4.0,22,ipv4
UZ,185.74.100.0,22,ipv4
UZ,185.78.136.0,22,ipv4
UZ,185.93.124.0,22,ipv4
UZ,185.100.52.0,22,ipv4
UZ,185.137.152.0,22,ipv4
UZ,185.139.136.0,22,ipv4
UZ,185.163.24.0,22,ipv4
UZ,185.166.255.0,24,ipv4
UZ,185.178.51.0,24,ipv4
UZ,185.183.240.0,22,ipv4
UZ,185.184.53.0,24,ipv4
UZ,185.196.212.0,22,ipv4
UZ,185.196.216.0,22,ipv4
UZ,185.203.236.0,22,ipv4
