Country,IP,PrefixLength,Version
VI,23.143.120.0,24,ipv4
VI,23.177.184.0,23,ipv4
VI,66.59.216.0,24,ipv4
VI,66.185.32.0,20,ipv4
VI,66.248.160.0,19,ipv4
VI,67.211.240.0,20,ipv4
VI,98.142.160.0,20,ipv4
VI,104.192.184.0,21,ipv4
VI,130.12.44.0,22,ipv4
VI,132.147.224.0,20,ipv4
VI,136.143.195.0,24,ipv4
VI,142.147.102.0,23,ipv4
VI,146.226.0.0,16,ipv4
VI,162.247.24.0,21,ipv4
VI,162.253.168.0,22,ipv4
VI,172.84.192.0,18,ipv4
VI,172.102.224.0,22,ipv4
VI,192.65.170.0,24,ipv4
VI,192.81.72.0,23,ipv4
VI,192.102.82.0,24,ipv4
VI,198.36.28.0,22,ipv4
VI,204.8.64.0,22,ipv4
VI,204.11.152.0,21,ipv4
VI,208.84.192.0,21,ipv4
VI,209.221.192.0,19,ipv4
