country,ip,prefixlength,version
YE,176.123.16.0,20,ipv4
YE,175.110.0.0,18,ipv4
YE,134.35.0.0,16,ipv4
YE,110.238.32.0,19,ipv4
YE,213.246.0.0,19,ipv4
YE,195.94.0.0,19,ipv4
YE,188.240.96.0,19,ipv4
YE,188.209.224.0,19,ipv4
YE,185.240.64.0,22,ipv4
YE,185.112.200.0,22,ipv4
YE,185.80.140.0,22,ipv4
YE,185.80.44.0,22,ipv4
YE,185.71.132.0,22,ipv4
YE,185.11.8.0,22,ipv4
YE,178.130.64.0,18,ipv4
YE,131.117.160.0,21,ipv4
YE,109.200.160.0,19,ipv4
YE,109.74.32.0,20,ipv4
YE,94.26.208.0,20,ipv4
YE,94.26.192.0,20,ipv4
YE,89.189.64.0,19,ipv4
YE,82.114.160.0,19,ipv4
YE,81.91.24.0,21,ipv4
YE,80.253.176.0,20,ipv4
YE,78.137.64.0,19,ipv4
YE,46.161.224.0,19,ipv4
YE,46.35.64.0,19,ipv4
YE,31.31.176.0,20,ipv4
YE,5.255.0.0,19,ipv4
YE,5.100.160.0,21,ipv4
