country,ip,prefixlength,version
ZM,41.63.0.0,18,ipv4
ZM,41.72.96.0,19,ipv4
ZM,41.77.0.0,21,ipv4
ZM,41.191.116.0,22,ipv4
ZM,41.215.176.0,20,ipv4
ZM,41.216.64.0,19,ipv4
ZM,41.222.16.0,21,ipv4
ZM,41.223.116.0,22,ipv4
ZM,45.212.0.0,14,ipv4
ZM,80.88.3.0,24,ipv4
ZM,102.23.120.0,22,ipv4
ZM,102.67.160.0,22,ipv4
ZM,102.68.136.0,22,ipv4
ZM,102.130.100.0,24,ipv4
ZM,102.144.0.0,13,ipv4
ZM,102.210.96.0,22,ipv4
ZM,102.210.102.0,24,ipv4
ZM,102.210.160.0,22,ipv4
ZM,102.212.180.0,22,ipv4
ZM,102.216.214.0,23,ipv4
ZM,102.220.158.0,23,ipv4
ZM,102.221.240.0,22,ipv4
ZM,154.73.232.0,22,ipv4
ZM,155.0.0.0,16,ipv4
ZM,165.56.0.0,13,ipv4
ZM,196.12.12.0,22,ipv4
ZM,196.13.104.0,24,ipv4
ZM,196.46.192.0,19,ipv4
ZM,196.49.88.0,24,ipv4
ZM,196.60.94.0,24,ipv4
ZM,196.223.2.0,24,ipv4
ZM,196.223.29.0,24,ipv4
ZM,197.212.0.0,15,ipv4
ZM,197.220.0.0,19,ipv4
ZM,197.231.244.0,22,ipv4
