Country,IP,PrefixLength,Version
AM,2001:678:ca4::,48,ipv6
AM,2001:67c:21c::,48,ipv6
AM,2001:67c:2cdc::,48,ipv6
AM,2001:7f8:94::,48,ipv6
AM,2001:7f9:8::,48,ipv6
AM,2001:4d00::,32,ipv6
AM,2a00:f38::,29,ipv6
AM,2a00:1500::,29,ipv6
AM,2a00:1f28::,32,ipv6
AM,2a00:8740::,32,ipv6
AM,2a00:cc40::,29,ipv6
AM,2a00:f9a0::,32,ipv6
AM,2a01:4000::,32,ipv6
AM,2a01:4a00::,32,ipv6
AM,2a01:bbc0::,32,ipv6
AM,2a02:29f8::,32,ipv6
AM,2a02:2a50::,29,ipv6
AM,2a02:5960::,32,ipv6
AM,2a03:5e0::,32,ipv6
AM,2a03:1080::,32,ipv6
AM,2a03:1900::,29,ipv6
AM,2a03:2300::,29,ipv6
AM,2a03:27c0::,32,ipv6
AM,2a03:3d00::,29,ipv6
AM,2a03:5620::,32,ipv6
AM,2a05:f140::,29,ipv6
AM,2a06:33c0::,29,ipv6
AM,2a07:66c0::,29,ipv6
AM,2a07:ce00::,29,ipv6
AM,2a09:f840::,29,ipv6
AM,2a0a:9c0::,29,ipv6
AM,2a0a:3880::,29,ipv6
AM,2a0a:c140::,29,ipv6
AM,2a0b:1c40::,29,ipv6
AM,2a0b:a3c0::,29,ipv6
AM,2a0b:ff80::,29,ipv6
AM,2a0c:2080::,29,ipv6
AM,2a0c:6440::,29,ipv6
AM,2a0c:6dc0::,29,ipv6
AM,2a0d:b800::,29,ipv6
AM,2a0d:cd00::,29,ipv6
AM,2a0e:2d80::,29,ipv6
AM,2a0e:6040::,29,ipv6
AM,2a0e:7100::,29,ipv6
AM,2a11:6fc0::,29,ipv6
AM,2a12:3280::,32,ipv6
AM,2a12:5940::,29,ipv6
AM,2a12:5d40::,29,ipv6
AM,2a13:1ec0::,32,ipv6
AM,2a13:3a00::,29,ipv6
AM,2a14:200::,29,ipv6
AM,2a14:ac0::,29,ipv6
AM,2a14:4800::,29,ipv6
