Country,IP,PrefixLength,Version
BT,2001:dea:4000::,47,ipv6
BT,2001:deb:8000::,48,ipv6
BT,2001:df0:eb80::,48,ipv6
BT,2001:df2:a8c0::,48,ipv6
BT,2001:df3:e180::,48,ipv6
BT,2001:df4:3440::,48,ipv6
BT,2001:df5:a300::,48,ipv6
BT,2001:df5:acc0::,48,ipv6
BT,2001:df5:d880::,48,ipv6
BT,2001:df5:d881::,48,ipv6
BT,2001:df5:e700::,48,ipv6
BT,2400:1440::,32,ipv6
BT,2400:4e60::,32,ipv6
BT,2400:50c0::,32,ipv6
BT,2401:5f40::,32,ipv6
BT,2401:b760::,32,ipv6
BT,2401:fe20::,32,ipv6
BT,2403:580::,32,ipv6
BT,2403:8700::,32,ipv6
BT,2404:5540::,32,ipv6
BT,2405:d000::,32,ipv6
BT,2405:ec00::,32,ipv6
BT,2405:ec01::,32,ipv6
BT,2407:5040::,32,ipv6
