Country,IP,PrefixLength,Version
CW,2001:13c7:6004::,47,ipv6
CW,2800:2e0::,32,ipv6
CW,2800:530::,32,ipv6
CW,2800:9e0::,32,ipv6
CW,2800:a20::,32,ipv6
CW,2801:0:310::,48,ipv6
CW,2801:16::,48,ipv6
CW,2801:19:6000::,48,ipv6
CW,2803:1100::,32,ipv6
CW,2803:3040::,32,ipv6
CW,2803:3420::,32,ipv6
CW,2803:4500::,32,ipv6
CW,2803:4d80::,32,ipv6
CW,2803:6d90::,32,ipv6
CW,2803:9600::,32,ipv6
CW,2803:9f20::,32,ipv6
CW,2803:bed0::,32,ipv6
CW,2803:f500::,32,ipv6
CW,2a07:6640::,29,ipv6
CW,2a0b:5f80::,29,ipv6
CW,2a0f:5680::,29,ipv6
