Country,IP,PrefixLength,Version
JO,2001:67c:2124::,48,ipv6
JO,2001:32c0::,29,ipv6
JO,2a00:18d0::,32,ipv6
JO,2a00:18d8::,29,ipv6
JO,2a00:4620::,32,ipv6
JO,2a00:76e0::,32,ipv6
JO,2a00:b860::,32,ipv6
JO,2a00:caa0::,32,ipv6
JO,2a01:1d0::,29,ipv6
JO,2a01:9700::,29,ipv6
JO,2a01:e240::,29,ipv6
JO,2a01:ee40::,29,ipv6
JO,2a02:9c0::,29,ipv6
JO,2a02:2558::,29,ipv6
JO,2a02:25d8::,32,ipv6
JO,2a02:5b60::,32,ipv6
JO,2a02:c040::,29,ipv6
JO,2a02:e680::,29,ipv6
JO,2a02:f0c0::,29,ipv6
JO,2a03:6b00::,29,ipv6
JO,2a03:6d00::,32,ipv6
JO,2a03:b640::,32,ipv6
JO,2a04:6200::,29,ipv6
JO,2a05:74c0::,29,ipv6
JO,2a05:7500::,29,ipv6
JO,2a06:9bc0::,29,ipv6
JO,2a06:bd80::,29,ipv6
JO,2a07:140::,29,ipv6
JO,2a0a:2740::,29,ipv6
JO,2a0c:39c0::,29,ipv6
JO,2a0d:cf40::,29,ipv6
JO,2a10:1100::,29,ipv6
JO,2a10:9740::,29,ipv6
JO,2a10:d800::,29,ipv6
JO,2a11:d180::,29,ipv6
JO,2a13:1f00::,29,ipv6
JO,2a13:5c00::,29,ipv6
JO,2a13:8d40::,29,ipv6
JO,2a14:1a40::,29,ipv6
JO,2a14:2840::,29,ipv6
