Country,IP,PrefixLength,Version
KW,2001:67c:7f4::,48,ipv6
KW,2a00:1850::,29,ipv6
KW,2a00:4520::,29,ipv6
KW,2a01:5ca0::,32,ipv6
KW,2a01:70e0::,32,ipv6
KW,2a01:7780::,32,ipv6
KW,2a01:7f40::,32,ipv6
KW,2a01:9b20::,32,ipv6
KW,2a02:c08::,32,ipv6
KW,2a02:16b0::,32,ipv6
KW,2a02:2ba0::,32,ipv6
KW,2a02:7500::,32,ipv6
KW,2a02:e080::,29,ipv6
KW,2a03:1660::,32,ipv6
KW,2a03:4780::,29,ipv6
KW,2a03:5780::,32,ipv6
KW,2a03:6700::,29,ipv6
KW,2a06:280::,29,ipv6
KW,2a06:16c0::,29,ipv6
KW,2a06:e440::,29,ipv6
KW,2a07:740::,29,ipv6
KW,2a07:7c40::,29,ipv6
KW,2a0b:13c0::,29,ipv6
KW,2a0b:c9c0::,29,ipv6
KW,2a0c:c9c0::,29,ipv6
KW,2a0c:ca00::,29,ipv6
KW,2a0d:2980::,29,ipv6
KW,2a0e:1140::,29,ipv6
KW,2a0e:2480::,29,ipv6
KW,2a0e:3280::,29,ipv6
KW,2a0e:53c0::,29,ipv6
KW,2a0f:5980::,29,ipv6
KW,2a10:be80::,29,ipv6
KW,2a11:6240::,29,ipv6
KW,2a13:3740::,29,ipv6
