Country,IP,PrefixLength,Version
KZ,2001:678:98::,48,ipv6
KZ,2001:67c:9e8::,48,ipv6
KZ,2001:67c:14a8::,48,ipv6
KZ,2001:7f8:31::,48,ipv6
KZ,2a00:12f8::,32,ipv6
KZ,2a00:1a08::,32,ipv6
KZ,2a00:5da0::,29,ipv6
KZ,2a00:8d20::,32,ipv6
KZ,2a00:ab40::,32,ipv6
KZ,2a01:42e0::,32,ipv6
KZ,2a01:4b40::,32,ipv6
KZ,2a01:4d40::,32,ipv6
KZ,2a01:68c0::,32,ipv6
KZ,2a01:7640::,32,ipv6
KZ,2a01:8ce0::,32,ipv6
KZ,2a01:99e0::,32,ipv6
KZ,2a01:b0c0::,32,ipv6
KZ,2a02:4400::,32,ipv6
KZ,2a02:50c0::,29,ipv6
KZ,2a02:7300::,32,ipv6
KZ,2a02:7b60::,32,ipv6
KZ,2a03:32c0::,32,ipv6
KZ,2a03:4ac0::,32,ipv6
KZ,2a03:6340::,32,ipv6
KZ,2a03:7b20::,32,ipv6
KZ,2a03:a300::,32,ipv6
KZ,2a04:3a80::,29,ipv6
KZ,2a04:3b00::,29,ipv6
KZ,2a04:4f40::,29,ipv6
KZ,2a04:5140::,29,ipv6
KZ,2a05:d840::,29,ipv6
KZ,2a05:e040::,29,ipv6
KZ,2a05:f040::,29,ipv6
KZ,2a06:580::,29,ipv6
KZ,2a06:940::,29,ipv6
KZ,2a06:1600::,29,ipv6
KZ,2a06:1a00::,29,ipv6
KZ,2a06:6780::,29,ipv6
KZ,2a06:8900::,29,ipv6
KZ,2a07:1e00::,29,ipv6
KZ,2a07:aa40::,29,ipv6
KZ,2a09:3200::,29,ipv6
KZ,2a09:6140::,29,ipv6
KZ,2a0a:7380::,29,ipv6
KZ,2a0b:23c0::,29,ipv6
KZ,2a0b:abc0::,29,ipv6
KZ,2a0c:8600::,29,ipv6
KZ,2a0c:f080::,30,ipv6
KZ,2a0d:7d40::,29,ipv6
KZ,2a0d:b200::,29,ipv6
KZ,2a0d:bcc0::,29,ipv6
KZ,2a0d:c6c0::,29,ipv6
KZ,2a0e:6600::,29,ipv6
KZ,2a0e:7bc0::,29,ipv6
KZ,2a0e:9340::,29,ipv6
KZ,2a0e:d100::,29,ipv6
KZ,2a0e:d280::,29,ipv6
KZ,2a0e:db80::,29,ipv6
KZ,2a0f:fd80::,29,ipv6
KZ,2a10:b0c0::,32,ipv6
KZ,2a10:b780::,29,ipv6
KZ,2a11:2200::,29,ipv6
KZ,2a11:aa80::,32,ipv6
KZ,2a11:de80::,29,ipv6
KZ,2a12:6c0::,29,ipv6
KZ,2a12:2440::,29,ipv6
KZ,2a12:2ac0::,29,ipv6
KZ,2a12:3880::,32,ipv6
KZ,2a12:85c0::,29,ipv6
KZ,2a12:8a40::,29,ipv6
KZ,2a12:ce40::,29,ipv6
KZ,2a13:1240::,29,ipv6
KZ,2a13:19c0::,29,ipv6
KZ,2a13:3940::,29,ipv6
KZ,2a13:53c0::,29,ipv6
KZ,2a13:c1c0::,29,ipv6
KZ,2a14:3e80::,29,ipv6
KZ,2a14:6d80::,29,ipv6
KZ,2a14:7c40::,32,ipv6
KZ,2a14:c500::,29,ipv6
KZ,2a14:e980::,29,ipv6
KZ,2a14:f380::,29,ipv6
