Country,IP,PrefixLength,Version
MN,2001:df0:1180::,48,ipv6
MN,2001:df1:1a80::,48,ipv6
MN,2001:df1:1e80::,48,ipv6
MN,2001:df1:6d80::,48,ipv6
MN,2001:df1:efc0::,48,ipv6
MN,2001:df2:3180::,48,ipv6
MN,2001:df2:5d00::,48,ipv6
MN,2001:df2:7f40::,48,ipv6
MN,2001:df2:87c0::,48,ipv6
MN,2001:df3:2f40::,48,ipv6
MN,2001:df3:62c0::,48,ipv6
MN,2001:df3:9840::,48,ipv6
MN,2001:df3:a340::,48,ipv6
MN,2001:df3:acc0::,48,ipv6
MN,2001:df4:4340::,48,ipv6
MN,2001:df4:4c80::,48,ipv6
MN,2001:df5:300::,48,ipv6
MN,2001:df5:e100::,48,ipv6
MN,2001:df6:5a80::,48,ipv6
MN,2001:df6:c980::,48,ipv6
MN,2400:7480::,32,ipv6
MN,2400:bde0::,32,ipv6
MN,2400:d4e0::,32,ipv6
MN,2400:db80::,32,ipv6
MN,2400:ee60::,32,ipv6
MN,2400:ef60::,32,ipv6
MN,2401:ae0::,32,ipv6
MN,2401:3f60::,32,ipv6
MN,2401:7120::,32,ipv6
MN,2401:8b60::,32,ipv6
MN,2401:90c0::,32,ipv6
MN,2401:a960::,32,ipv6
MN,2401:d600::,32,ipv6
MN,2401:fd40::,32,ipv6
MN,2401:ffe0::,32,ipv6
MN,2402:8880::,32,ipv6
MN,2402:c900::,32,ipv6
MN,2403:d700::,32,ipv6
MN,2404:2700::,32,ipv6
MN,2404:ec80::,32,ipv6
MN,2405:600::,32,ipv6
MN,2405:4c40::,32,ipv6
MN,2405:5700::,32,ipv6
MN,2405:ae00::,32,ipv6
MN,2406:2940::,32,ipv6
MN,2407:1c80::,32,ipv6
MN,2407:3680::,32,ipv6
MN,2407:6400::,32,ipv6
MN,2407:95c0::,32,ipv6
