Country,IP,PrefixLength,Version
MU,2001:4238::,32,ipv6
MU,2001:4248::,32,ipv6
MU,2001:4290::,32,ipv6
MU,2001:42a8::,32,ipv6
MU,2001:42d0::,40,ipv6
MU,2001:4328::,32,ipv6
MU,2001:43b8::,32,ipv6
MU,2001:43f8:90::,48,ipv6
MU,2001:43f8:92::,48,ipv6
MU,2001:43f8:110::,48,ipv6
MU,2001:43f8:120::,48,ipv6
MU,2001:43f8:270::,48,ipv6
MU,2001:43f8:271::,48,ipv6
MU,2001:43f8:280::,48,ipv6
MU,2001:43f8:cc0::,44,ipv6
MU,2001:43f8:d00::,48,ipv6
MU,2001:43f8:e00::,40,ipv6
MU,2001:43f8:1150::,48,ipv6
MU,2001:43f8:1151::,48,ipv6
MU,2001:43fe:6000::,48,ipv6
MU,2c0f:5140::,32,ipv6
MU,2c0f:e808::,32,ipv6
MU,2c0f:e8f8::,32,ipv6
MU,2c0f:ec30::,32,ipv6
MU,2c0f:f310::,32,ipv6
MU,2c0f:f550::,32,ipv6
MU,2c0f:f748::,32,ipv6
MU,2c0f:f830::,32,ipv6
MU,2c0f:f8e0::,32,ipv6
MU,2c0f:f8f0::,32,ipv6
MU,2c0f:f980::,32,ipv6
MU,2c0f:fa10::,32,ipv6
MU,2c0f:fe30::,32,ipv6
MU,2c0f:fe40::,32,ipv6
MU,2c0f:fe68::,32,ipv6
MU,2c0f:feb0::,32,ipv6
MU,2c0f:feb1::,32,ipv6
