Country,IP,PrefixLength,Version
NI,2800:10::,32,ipv6
NI,2800:8c0::,32,ipv6
NI,2801:14:5000::,48,ipv6
NI,2801:15:8800::,48,ipv6
NI,2801:1b:e000::,48,ipv6
NI,2801:1d:6000::,48,ipv6
NI,2803:180::,32,ipv6
NI,2803:800::,32,ipv6
NI,2803:a40::,32,ipv6
NI,2803:1040::,32,ipv6
NI,2803:14a0::,32,ipv6
NI,2803:14d0::,32,ipv6
NI,2803:1640::,32,ipv6
NI,2803:1c40::,32,ipv6
NI,2803:1e00::,32,ipv6
NI,2803:2410::,32,ipv6
NI,2803:2d60::,32,ipv6
NI,2803:6a80::,32,ipv6
NI,2803:8610::,32,ipv6
NI,2803:8880::,32,ipv6
NI,2803:9140::,32,ipv6
NI,2803:9840::,32,ipv6
NI,2803:b780::,32,ipv6
NI,2803:dfa0::,32,ipv6
