Country,IP,PrefixLength,Version
PG,2001:c60::,32,ipv6
PG,2001:dea:8000::,48,ipv6
PG,2001:df1:b00::,48,ipv6
PG,2001:df1:bdc0::,48,ipv6
PG,2001:df1:fb80::,48,ipv6
PG,2001:df2:1500::,48,ipv6
PG,2001:df3:4c00::,48,ipv6
PG,2001:df3:c880::,48,ipv6
PG,2001:df3:d840::,48,ipv6
PG,2001:df4:3e80::,48,ipv6
PG,2001:df4:6900::,48,ipv6
PG,2001:df6:a880::,48,ipv6
PG,2001:df7:5c80::,48,ipv6
PG,2001:df7:8c80::,48,ipv6
PG,2400:9300::,32,ipv6
PG,2400:94e0::,32,ipv6
PG,2400:bd20::,32,ipv6
PG,2401:53c0::,32,ipv6
PG,2401:d540::,32,ipv6
PG,2401:e8e0::,32,ipv6
PG,2401:f680::,32,ipv6
PG,2402:58c0::,32,ipv6
PG,2404:6400::,32,ipv6
PG,2404:f440::,32,ipv6
PG,2405:9f40::,32,ipv6
PG,2407:1800::,32,ipv6
PG,2407:3b00::,32,ipv6
