Country,IP,PrefixLength,Version
PR,2001:500:10::,48,ipv6
PR,2001:504:1d::,48,ipv6
PR,2602:f781::,36,ipv6
PR,2602:f79f::,36,ipv6
PR,2602:faca::,36,ipv6
PR,2602:fbe3::,36,ipv6
PR,2602:fc7b::,36,ipv6
PR,2602:fcb5::,36,ipv6
PR,2602:fcdc::,36,ipv6
PR,2602:fcf6::,36,ipv6
PR,2602:fd44::,36,ipv6
PR,2602:fd75::,36,ipv6
PR,2602:fd77::,36,ipv6
PR,2602:fdc5::,36,ipv6
PR,2602:fddc::,36,ipv6
PR,2602:fdf5::,36,ipv6
PR,2602:fdf7::,36,ipv6
PR,2602:fdfb::,36,ipv6
PR,2602:fe09::,36,ipv6
PR,2602:ff56::,36,ipv6
PR,2602:ffe7::,36,ipv6
PR,2604:1400::,32,ipv6
PR,2604:17e0::,32,ipv6
PR,2604:19a0::,32,ipv6
PR,2604:1cc0::,32,ipv6
PR,2604:2d40::,32,ipv6
PR,2604:89c0::,32,ipv6
PR,2604:98c0::,32,ipv6
PR,2604:d3c0::,32,ipv6
PR,2604:f180::,32,ipv6
PR,2604:f540::,32,ipv6
PR,2604:fcc0::,32,ipv6
PR,2605:12c0::,32,ipv6
PR,2605:3940::,32,ipv6
PR,2605:4700::,32,ipv6
PR,2605:5d40::,32,ipv6
PR,2605:7340::,32,ipv6
PR,2605:db40::,32,ipv6
PR,2606:2440::,36,ipv6
PR,2606:2ac0::,32,ipv6
PR,2606:3d80::,32,ipv6
PR,2606:4140::,32,ipv6
PR,2606:5940::,32,ipv6
PR,2606:5ac0::,32,ipv6
PR,2606:5f00::,32,ipv6
PR,2606:6a40::,32,ipv6
PR,2606:8cc0::,32,ipv6
PR,2606:98c0::,32,ipv6
PR,2606:a240::,32,ipv6
PR,2606:a9c0::,32,ipv6
PR,2606:aac0::,32,ipv6
PR,2606:b7c0::,32,ipv6
PR,2606:d6c0::,32,ipv6
PR,2607:ec0::,32,ipv6
PR,2607:f00::,32,ipv6
PR,2607:2000::,32,ipv6
PR,2607:5980::,32,ipv6
PR,2607:5b40::,32,ipv6
PR,2607:6ec0::,32,ipv6
PR,2607:8a80::,32,ipv6
PR,2607:a380::,32,ipv6
PR,2607:ac00::,32,ipv6
PR,2607:b340::,32,ipv6
PR,2607:c740::,32,ipv6
PR,2607:edc0::,32,ipv6
PR,2607:efc0::,32,ipv6
PR,2607:f870::,32,ipv6
PR,2620:102:b000::,47,ipv6
