Country,IP,PrefixLength,Version
PS,2001:678:5f4::,48,ipv6
PS,2001:678:dfc::,48,ipv6
PS,2001:7f8:72::,48,ipv6
PS,2001:7f8:12b::,48,ipv6
PS,2a00:4a60::,29,ipv6
PS,2a00:4e80::,32,ipv6
PS,2a00:6ba0::,32,ipv6
PS,2a00:8520::,32,ipv6
PS,2a00:9920::,29,ipv6
PS,2a00:cee0::,29,ipv6
PS,2a00:d2c0::,29,ipv6
PS,2a00:dda0::,32,ipv6
PS,2a01:4500::,32,ipv6
PS,2a01:7f80::,29,ipv6
PS,2a01:8b20::,29,ipv6
PS,2a01:ba60::,29,ipv6
PS,2a01:f6c0::,29,ipv6
PS,2a02:26d0::,32,ipv6
PS,2a02:7ca0::,32,ipv6
PS,2a03:7c0::,32,ipv6
PS,2a03:c40::,29,ipv6
PS,2a03:2940::,32,ipv6
PS,2a03:7560::,32,ipv6
PS,2a03:7e60::,32,ipv6
PS,2a03:87a0::,32,ipv6
PS,2a03:9640::,32,ipv6
PS,2a04:940::,29,ipv6
PS,2a04:19c0::,29,ipv6
PS,2a05:2f40::,29,ipv6
PS,2a06:5540::,29,ipv6
PS,2a07:8780::,29,ipv6
PS,2a09:9900::,32,ipv6
PS,2a0b:4d40::,29,ipv6
PS,2a0b:73c0::,29,ipv6
PS,2a0c:b6c0::,29,ipv6
PS,2a0d:a40::,29,ipv6
PS,2a0e:dcc0::,29,ipv6
PS,2a0f:c980::,29,ipv6
PS,2a0f:d780::,32,ipv6
PS,2a0f:d880::,29,ipv6
PS,2a0f:e800::,29,ipv6
PS,2a11:a40::,29,ipv6
PS,2a11:ac80::,29,ipv6
PS,2a12:cf40::,32,ipv6
PS,2a14:9f80::,29,ipv6
