Country,IP,PrefixLength,Version
PT,2001:678:1094::,48,ipv6
PT,2001:67c:13ec::,48,ipv6
PT,2001:67c:1b40::,48,ipv6
PT,2001:67c:1b44::,48,ipv6
PT,2001:67c:1b48::,48,ipv6
PT,2001:67c:1b4c::,48,ipv6
PT,2001:67c:2d44::,48,ipv6
PT,2001:690::,29,ipv6
PT,2001:7f8:a::,48,ipv6
PT,2001:7f8:c7::,48,ipv6
PT,2001:7f8:f9::,48,ipv6
PT,2001:818::,29,ipv6
PT,2001:8a0::,29,ipv6
PT,2001:a40::,29,ipv6
PT,2001:b18::,32,ipv6
PT,2001:1588::,29,ipv6
PT,2001:15d8::,29,ipv6
PT,2001:35c0::,29,ipv6
PT,2001:4cc0::,32,ipv6
PT,2a00:1650::,29,ipv6
PT,2a00:1c60::,32,ipv6
PT,2a00:bc20::,32,ipv6
PT,2a00:c560::,29,ipv6
PT,2a00:d180::,29,ipv6
PT,2a00:fa00::,32,ipv6
PT,2a01:8::,29,ipv6
PT,2a01:10::,29,ipv6
PT,2a01:b020::,32,ipv6
PT,2a02:138::,32,ipv6
PT,2a02:740::,32,ipv6
PT,2a02:818::,29,ipv6
PT,2a02:870::,29,ipv6
PT,2a02:8f0::,32,ipv6
PT,2a02:26c8::,32,ipv6
PT,2a02:27e0::,32,ipv6
PT,2a02:2a60::,29,ipv6
PT,2a03::,32,ipv6
PT,2a03:da0::,32,ipv6
PT,2a03:3f60::,32,ipv6
PT,2a03:6420::,32,ipv6
PT,2a03:73c0::,32,ipv6
PT,2a03:84e0::,32,ipv6
PT,2a03:8bc0::,32,ipv6
PT,2a03:9c80::,32,ipv6
PT,2a04:53c0::,29,ipv6
PT,2a04:6d80::,29,ipv6
PT,2a04:8940::,29,ipv6
PT,2a04:b040::,29,ipv6
PT,2a04:e040::,29,ipv6
PT,2a05:7540::,29,ipv6
PT,2a05:7800::,29,ipv6
PT,2a05:9640::,29,ipv6
PT,2a05:9f00::,29,ipv6
PT,2a05:a040::,29,ipv6
PT,2a05:c800::,29,ipv6
PT,2a05:df40::,29,ipv6
PT,2a06:2000::,29,ipv6
PT,2a06:cdc0::,29,ipv6
PT,2a06:e640::,29,ipv6
PT,2a07:4f40::,29,ipv6
PT,2a09:2840::,29,ipv6
PT,2a09:5640::,32,ipv6
PT,2a09:58c0::,32,ipv6
PT,2a09:5b00::,29,ipv6
PT,2a09:be41::,32,ipv6
PT,2a09:be42::,31,ipv6
PT,2a09:be44::,30,ipv6
PT,2a0a:36c0::,29,ipv6
PT,2a0a:5b00::,29,ipv6
PT,2a0a:9000::,29,ipv6
PT,2a0a:e3c0::,29,ipv6
PT,2a0b:8400::,29,ipv6
PT,2a0b:94c0::,32,ipv6
PT,2a0b:c1c0::,29,ipv6
PT,2a0b:e640::,29,ipv6
PT,2a0b:e740::,29,ipv6
PT,2a0c:3840::,29,ipv6
PT,2a0c:b800::,29,ipv6
PT,2a0c:c2c0::,29,ipv6
PT,2a0d:2340::,29,ipv6
PT,2a0d:3b80::,29,ipv6
PT,2a0d:7200::,29,ipv6
PT,2a0d:82c0::,29,ipv6
PT,2a0d:94c0::,29,ipv6
PT,2a0d:e300::,29,ipv6
PT,2a0d:f600::,29,ipv6
PT,2a0e:1f40::,29,ipv6
PT,2a0e:48c0::,29,ipv6
PT,2a0e:5f00::,29,ipv6
PT,2a0e:bc00::,29,ipv6
PT,2a0e:ec00::,30,ipv6
PT,2a0e:ec04::,31,ipv6
PT,2a0f:7700::,29,ipv6
PT,2a0f:8900::,29,ipv6
PT,2a0f:c440::,29,ipv6
PT,2a0f:c700::,29,ipv6
PT,2a0f:d300::,29,ipv6
PT,2a10:3c0::,29,ipv6
PT,2a10:1f80::,29,ipv6
PT,2a10:5000::,29,ipv6
PT,2a10:7b40::,29,ipv6
PT,2a10:a4c0::,29,ipv6
PT,2a10:b280::,29,ipv6
PT,2a10:e440::,32,ipv6
PT,2a10:ee40::,29,ipv6
PT,2a11:c00::,29,ipv6
PT,2a11:9ec0::,29,ipv6
PT,2a11:bd80::,30,ipv6
PT,2a12:26c0::,29,ipv6
PT,2a12:49c0::,29,ipv6
PT,2a12:c1c0::,29,ipv6
PT,2a13:580::,29,ipv6
PT,2a13:3fc0::,29,ipv6
PT,2a13:67c0::,29,ipv6
PT,2a13:de80::,29,ipv6
PT,2a13:f2c0::,29,ipv6
PT,2a14:3840::,29,ipv6
PT,2a14:da80::,29,ipv6
