Country,IP,PrefixLength,Version
VG,2001:504:93::,48,ipv6
VG,2001:67c:4e8::,48,ipv6
VG,2001:67c:2d54::,48,ipv6
VG,2001:df1:1f00::,48,ipv6
VG,2405:6e40::,32,ipv6
VG,2602:f61e::,40,ipv6
VG,2602:f794::,40,ipv6
VG,2602:f9da::,36,ipv6
VG,2602:fa5c::,40,ipv6
VG,2602:fd2f::,36,ipv6
VG,2602:fdc7::,36,ipv6
VG,2604:10c0::,32,ipv6
VG,2605:7f40::,32,ipv6
VG,2620:1e:a000::,48,ipv6
VG,2620:48:a000::,48,ipv6
VG,2620:4e:2000::,48,ipv6
VG,2620:d1:e000::,48,ipv6
VG,2620:e1:c000::,48,ipv6
VG,2a00:6e20::,32,ipv6
VG,2a04:2d00::,29,ipv6
VG,2a04:5ec0::,29,ipv6
VG,2a06:9ac0::,32,ipv6
VG,2a07:4340::,29,ipv6
VG,2a0a:f280::,29,ipv6
VG,2a0a:f2c0::,29,ipv6
VG,2a0b:f600::,29,ipv6
VG,2a0d:1640::,29,ipv6
VG,2a0d:63c0::,29,ipv6
VG,2a0e:2900::,29,ipv6
VG,2a0e:dec0::,29,ipv6
VG,2a10:ebc0::,29,ipv6
VG,2a11:2880::,29,ipv6
VG,2a14:6a80::,29,ipv6
