Country,IP,PrefixLength,Version
AD,2.152.216.0,21,ipv4
AD,46.172.224.0,19,ipv4
AD,46.175.156.0,22,ipv4
AD,80.80.84.0,22,ipv4
AD,80.80.92.0,22,ipv4
AD,85.8.222.0,24,ipv4
AD,85.94.160.0,19,ipv4
AD,89.150.2.0,23,ipv4
AD,89.150.4.0,22,ipv4
AD,89.150.8.0,21,ipv4
AD,91.187.64.0,19,ipv4
AD,94.125.138.0,23,ipv4
AD,94.125.140.0,23,ipv4
AD,109.111.96.0,19,ipv4
AD,109.175.210.0,24,ipv4
AD,109.205.193.0,24,ipv4
AD,158.94.220.0,23,ipv4
AD,185.4.52.0,22,ipv4
AD,185.33.0.0,22,ipv4
AD,185.87.36.0,22,ipv4
AD,185.87.40.0,22,ipv4
AD,185.87.44.0,22,ipv4
AD,185.132.200.0,22,ipv4
AD,185.194.56.0,22,ipv4
AD,185.247.24.0,22,ipv4
AD,188.241.26.0,23,ipv4
AD,194.158.64.0,19,ipv4
AD,213.236.8.0,21,ipv4
AD,2a01:fb00::,29,ipv6
AD,2a02:8060::,31,ipv6
AE,2.48.0.0,14,ipv4
AE,2.56.16.0,22,ipv4
AE,2.56.36.0,22,ipv4
AE,2.56.136.0,22,ipv4
AE,2.56.242.0,23,ipv4
AE,2.57.16.0,22,ipv4
AE,2.57.20.0,22,ipv4
AE,2.57.148.0,22,ipv4
AE,2.57.240.0,22,ipv4
AE,2.58.28.0,22,ipv4
AE,2.58.60.0,22,ipv4
AE,2.58.96.0,23,ipv4
AE,2.58.99.0,24,ipv4
AE,2.58.172.0,22,ipv4
AE,2.59.0.0,22,ipv4
AE,2.59.40.0,22,ipv4
AE,2.59.212.0,22,ipv4
AE,5.30.0.0,15,ipv4
AE,5.32.0.0,17,ipv4
AE,5.35.32.0,21,ipv4
AE,5.35.44.0,22,ipv4
AE,5.35.68.0,22,ipv4
AE,5.38.0.0,17,ipv4
AE,5.44.253.0,24,ipv4
AE,5.45.36.0,22,ipv4
AE,5.45.64.0,19,ipv4
AE,5.53.96.0,21,ipv4
AE,5.61.32.0,19,ipv4
AE,5.63.128.0,21,ipv4
AE,5.83.112.0,21,ipv4
AE,5.107.0.0,16,ipv4
AE,5.133.108.0,22,ipv4
AE,5.152.248.0,21,ipv4
AE,5.160.0.0,16,ipv4
AE,5.180.16.0,22,ipv4
AE,5.181.14.0,23,ipv4
AE,5.181.124.0,22,ipv4
AE,5.181.128.0,22,ipv4
AE,5.181.132.0,22,ipv4
AE,5.181.161.0,24,ipv4
AE,5.182.24.0,22,ipv4
AE,5.182.108.0,22,ipv4
AE,5.182.124.0,22,ipv4
AE,5.183.152.0,22,ipv4
AE,5.187.32.0,24,ipv4
AE,5.192.0.0,15,ipv4
AE,5.194.0.0,17,ipv4
AE,5.194.128.0,18,ipv4
AE,5.194.192.0,19,ipv4
AE,5.194.224.0,20,ipv4
AE,5.194.240.0,21,ipv4
